year,state,sightings
10,PA,1
10,TX,1
10,MN,1
10,IL,1
10,GA,1
10,MN,1
10,FL,1
10,NC,1
10,TX,1
10,TX,1
10,FL,1
10,TX,1
10,NL,1
10,TX,1
10,LA,1
10,TX,1
10,NL,1
10,AR,1
10,NY,1
10,VA,1
10,MA,1
10,MD,1
10,NH,1
10,TX,1
10,MA,1
10,NJ,1
10,IL,1
10,PA,1
10,PA,1
10,CA,1
10,TX,1
10,FL,1
10,FL,1
10,PA,1
10,CT,1
10,NY,1
10,CT,1
10,MD,1
10,CA,1
10,TX,1
10,CA,1
10,NY,1
10,PA,1
10,NY,1
10,TX,1
10,RI,1
10,NY,1
10,MD,1
10,FL,1
10,PA,1
10,GA,1
10,FL,1
10,SC,1
10,TX,1
10,NC,1
10,NY,1
10,TN,1
10,SC,1
10,TX,1
10,GA,1
10,AR,1
10,AR,1
10,TX,1
10,COA,1
10,PA,1
10,TX,1
10,NC,1
10,TX,1
10,COA,1
10,COA,1
10,GUA,1
10,TX,1
10,MI,1
10,GA,1
10,MN,1
10,TX,1
10,AZ,1
10,AL,1
10,CO,1
10,MS,1
10,TX,1
10,FL,1
10,IL,1
10,CA,1
10,FL,1
10,MS,1
10,NC,1
10,NL,1
10,TX,1
10,AL,1
10,GA,1
10,NY,1
10,NC,1
10,COA,1
10,MO,1
10,WI,1
10,COA,1
10,WI,1
10,NC,1
10,FL,1
10,PA,1
10,TX,2
10,MD,1
10,IA,1
10,FL,1
10,PA,1
10,NY,1
10,TX,1
10,SD,1
10,FL,1
10,TX,1
10,FL,1
10,NY,1
10,FL,1
10,TX,1
10,MN,1
10,TX,1
10,TX,1
10,MI,1
10,AZ,1
10,MS,1
10,NC,1
10,AR,1
10,TX,1
10,MO,1
10,NC,1
10,MN,1
10,IL,1
10,AR,1
10,IA,1
10,KY,1
10,VA,1
10,NJ,1
10,GA,1
10,SC,1
10,TX,1
10,ON,1
10,NY,1
10,TX,1
10,SC,1
10,NL,1
10,GA,1
10,OH,1
10,PA,1
10,OH,1
10,IN,1
10,MI,1
10,TX,1
10,TX,1
10,AR,1
10,TX,1
10,PA,1
10,MI,1
10,PA,1
10,NY,1
10,MO,1
10,CT,1
10,OK,1
10,ON,1
10,NJ,1
10,MO,1
10,TX,1
10,MI,1
10,OK,1
10,MI,1
10,IA,1
10,SC,1
10,KS,1
10,PA,1
10,OK,1
10,NY,1
10,MA,1
10,NY,1
10,NY,1
10,ON,1
10,NY,1
10,MI,1
10,MA,1
10,KS,1
10,NY,1
10,NJ,1
10,PA,1
10,CO,1
10,IL,1
10,TX,1
10,NY,1
10,NJ,1
10,TX,1
10,TX,1
10,ON,1
10,ON,1
10,TX,1
10,NJ,1
10,NY,1
10,ON,1
10,CO,1
10,NY,1
10,MD,1
10,COA,1
10,KS,1
10,NY,1
10,PA,1
10,NJ,1
10,MD,1
10,GA,1
10,PA,1
10,VA,1
10,TX,1
10,NY,1
10,QUE,1
10,VA,1
10,TX,1
10,WY,1
10,NC,1
10,NY,1
10,NY,1
10,MI,1
10,MO,1
10,OK,1
10,WV,1
10,PA,1
10,NC,1
10,NJ,1
10,CO,1
10,TX,1
10,TX,1
10,SC,1
10,OR,1
10,NY,1
10,VA,1
10,LA,1
10,COA,1
10,TN,1
10,ON,1
10,OK,1
10,MO,1
10,CA,1
10,KS,1
10,WI,1
10,MI,1
10,AZ,1
10,AZ,1
10,KY,1
10,MN,1
10,WI,1
10,TX,1
10,MN,1
10,NY,1
10,MO,1
10,FL,1
10,AZ,1
10,WI,1
10,ON,1
10,GA,1
10,NC,1
10,NC,1
10,TX,1
10,MN,1
10,FL,1
10,TX,1
10,OK,1
10,NJ,1
10,IL,1
10,IL,1
10,NY,1
10,NY,1
10,OK,1
10,ON,1
10,IA,1
10,MN,1
10,NY,1
10,ON,1
10,MI,1
10,TX,1
10,MN,1
10,NY,1
10,NY,1
10,NY,1
10,MN,1
10,DC,1
10,ON,1
10,VA,1
10,MD,1
10,NL,1
10,MB,1
10,WI,1
10,NY,1
10,ON,1
10,MN,1
10,CO,1
10,VT,1
10,PA,1
10,TX,1
10,NY,1
10,NJ,1
10,TX,1
10,NY,1
10,COA,1
10,NJ,1
10,PA,1
10,IL,1
10,LA,1
10,MA,1
10,MO,1
10,KS,1
10,VA,1
10,MO,1
10,MS,1
10,WI,1
10,VA,1
10,CA,1
10,NJ,1
10,NY,1
10,FL,1
10,OK,1
10,OK,1
10,MA,1
10,PA,1
10,IL,1
10,KS,1
10,OH,1
10,IN,1
10,PA,1
10,VA,1
10,NY,1
10,MN,1
10,PA,1
10,NC,1
10,IL,1
10,NY,1
10,NY,1
10,LA,1
10,MN,1
10,IN,1
10,IN,1
10,COA,1
10,NY,1
10,NY,1
10,GA,1
10,MI,1
10,CO,1
10,CT,1
10,ON,1
10,PA,1
10,NC,1
10,KS,1
10,ON,1
10,MD,1
10,GA,1
10,MA,1
10,NJ,1
10,TX,1
10,KS,1
10,KS,1
10,VA,1
10,ID,1
10,KS,1
10,NY,1
10,OK,1
10,IA,1
10,AZ,1
10,KS,1
10,NY,1
10,NC,1
10,PA,1
10,IN,1
10,NY,1
10,KY,1
10,NY,1
10,MN,1
10,NY,1
10,TX,1
10,WV,1
10,CT,1
10,MA,1
10,PA,1
10,KY,1
10,NC,1
10,PA,1
10,VA,1
10,NY,1
10,PA,1
10,CT,1
10,WV,1
10,FL,1
10,PA,1
10,MI,1
10,MO,1
10,IN,1
10,NC,1
10,GA,1
10,ON,1
10,SC,1
10,KY,1
10,KS,1
10,NC,1
10,NY,1
10,IN,1
10,NJ,1
10,ON,1
10,TX,1
10,ON,1
10,MI,1
10,MN,1
10,NY,1
10,VA,1
10,PA,1
10,MN,1
10,NY,1
10,IN,1
10,PA,1
10,PA,1
10,CT,1
10,AZ,1
10,NY,1
10,ON,1
10,MI,1
10,MO,1
10,KY,1
10,OK,1
10,TX,1
10,COA,1
10,COA,1
10,NY,1
10,GA,1
10,MO,1
10,KY,1
10,NC,1
10,VA,1
10,ON,1
10,WI,1
10,CA,1
10,NC,1
10,MO,1
10,AR,1
10,MI,1
10,MN,1
10,TN,1
10,TN,1
10,NJ,1
10,KY,1
10,IN,1
10,OK,1
10,MA,1
10,IN,1
10,LA,1
10,MI,1
10,NY,1
10,PA,1
10,TX,1
10,IN,1
10,MI,1
10,IA,1
10,KS,1
10,NJ,1
10,MO,1
10,MI,1
10,NY,1
10,MD,1
10,VA,1
10,WI,1
10,NY,1
10,AZ,1
10,MN,1
10,ON,1
10,TX,1
10,NY,1
10,VA,1
10,MO,1
10,NJ,1
10,NJ,1
10,NC,1
10,MD,1
10,OH,1
10,AL,1
10,OK,1
10,MN,1
10,VA,1
10,VA,1
10,PA,1
10,IL,1
10,MI,1
10,PA,1
10,NC,1
10,VA,1
10,NY,1
10,NJ,1
10,WI,1
10,NC,1
10,IL,1
10,WI,1
10,PA,1
10,OK,1
10,VA,1
10,NJ,1
10,NJ,1
10,KS,1
10,NY,1
10,NY,1
10,NY,1
10,MI,1
10,ON,1
10,NY,1
10,NY,1
10,NY,1
10,DC,1
10,MI,1
10,MI,1
10,MI,1
10,MO,1
10,IL,1
10,GA,1
10,OH,1
10,WI,1
10,SC,1
10,MD,1
10,IL,1
10,MI,1
10,CT,1
10,AZ,1
10,AZ,1
10,NY,1
10,MO,1
10,MI,1
10,TX,1
10,IN,1
10,TX,1
10,VA,1
10,TX,1
10,SC,1
10,AR,1
10,TX,1
10,IN,1
10,NC,1
10,PA,1
10,MS,1
10,VA,1
10,IA,1
10,TX,1
10,MI,1
10,MA,1
10,AR,1
10,IL,1
10,MO,1
10,MN,1
10,IA,1
10,PA,1
10,OH,1
10,GA,1
10,ON,1
10,MD,1
10,DE,1
10,IN,1
10,PA,1
10,PA,1
10,TX,1
10,IL,1
10,PA,1
10,ON,1
10,KS,1
10,MB,1
10,MI,1
10,VA,1
10,TN,1
10,AZ,1
10,NB,1
10,MO,1
10,NY,1
10,NY,1
10,MS,1
10,NC,1
10,NJ,1
10,NY,1
10,CT,1
10,WI,1
10,NC,1
10,VA,1
10,FL,1
10,ON,1
10,MI,1
10,AR,1
10,MN,1
10,MI,1
10,MO,1
10,LA,1
10,VA,1
10,MO,1
10,MO,1
10,MO,1
10,KS,1
10,NC,1
10,NY,1
10,MN,1
10,PA,1
10,MI,1
10,MD,1
10,NY,1
10,NJ,1
10,ON,1
10,WI,1
10,NY,1
10,NY,1
10,VT,1
10,OH,1
10,MI,1
10,CO,1
10,CO,1
10,MB,1
10,IL,1
10,ON,1
10,IL,1
10,NJ,1
10,GA,1
10,NY,1
10,ND,1
10,CO,1
10,VA,1
10,PA,1
10,NY,1
10,NY,1
10,MI,1
10,ME,1
10,ME,1
10,CO,1
10,NY,1
10,NY,1
10,PA,1
10,MO,1
10,VA,1
10,NS,1
10,NY,1
10,NH,1
10,TX,1
10,WI,1
10,NJ,1
10,KY,1
10,TX,1
10,IN,1
10,MI,1
10,NY,1
10,NY,1
10,FL,1
10,NY,1
10,OK,1
10,VA,1
10,ON,1
10,FL,1
10,MA,1
10,PA,1
10,NC,1
10,MI,1
10,NC,1
10,NJ,1
10,NJ,1
10,NY,1
10,MO,1
10,NY,1
10,NY,1
10,TX,1
10,NJ,1
10,FL,1
10,FL,1
10,CT,1
10,GA,1
10,NY,1
10,MI,1
10,NY,1
10,KS,1
10,PA,1
10,NY,1
10,NY,1
10,VT,1
10,MN,1
10,KY,1
10,KY,1
10,NY,1
10,SC,1
10,KY,1
10,NY,1
10,MI,1
10,MI,1
10,MD,1
10,VA,1
10,NE,1
10,MA,1
10,IN,1
10,AZ,1
10,TX,1
10,TX,1
10,GA,1
10,FL,1
10,VA,1
10,NC,1
10,NE,1
10,NY,1
10,FL,1
10,MI,1
10,NY,1
10,MD,1
10,VT,1
10,WI,1
10,NJ,1
10,MO,1
10,WI,1
10,KS,1
10,MI,1
10,MN,1
10,MO,1
10,TX,1
10,NY,1
10,OH,1
10,NY,1
10,TX,1
10,ON,1
10,MI,1
10,NC,1
10,IA,1
10,NY,1
10,NY,1
10,PA,1
10,IL,1
10,NJ,1
10,IA,1
10,TN,1
10,WI,1
10,MI,1
10,CT,1
10,MI,1
10,CO,1
10,AZ,1
10,MO,1
10,MO,1
10,CT,1
10,DC,1
10,TX,1
10,NJ,1
10,NC,1
10,MI,1
10,VA,1
10,DC,1
10,MD,1
10,VA,1
10,PA,1
10,MO,1
10,VA,1
10,NY,1
10,MA,1
10,NH,1
10,PA,1
10,NJ,1
10,MA,1
10,SD,1
10,MA,1
10,KY,1
10,MN,1
10,VA,1
10,PA,1
10,NH,1
10,MA,1
10,GA,1
10,MI,1
10,PA,1
10,NJ,1
10,NY,1
10,NY,1
10,NY,1
10,NC,1
10,NY,1
10,PA,1
10,PA,1
10,MO,1
10,VA,1
10,CA,1
10,PA,1
10,LA,1
10,MI,1
10,CT,1
10,CO,1
10,WV,1
10,VA,1
10,IL,1
10,NC,1
10,NY,1
10,TX,1
10,ND,1
10,TX,1
10,ON,1
10,TX,1
10,OH,1
10,MI,1
10,IA,1
10,VA,1
10,DE,1
10,NY,1
10,TX,1
10,MI,1
10,GA,1
10,MI,1
10,IA,1
10,KY,1
10,MN,1
10,VA,1
10,CT,1
10,MO,1
10,NJ,1
10,IL,1
10,OH,1
10,PA,1
10,NY,1
10,NY,1
10,OH,1
10,MI,1
10,KS,1
10,NY,1
10,NY,1
10,MI,1
10,NY,1
10,NC,1
10,ON,1
10,GA,1
10,NJ,1
10,IL,1
10,FL,1
10,GA,1
10,NJ,1
10,LA,1
10,GA,1
10,GA,1
10,TX,1
10,NJ,1
10,NY,1
10,NY,1
10,IL,1
10,VA,1
10,MB,1
10,NC,1
10,CO,1
10,FL,1
10,AZ,1
10,NY,1
10,NY,1
10,CO,1
10,WI,1
10,MI,1
10,VA,1
10,MD,1
10,FL,1
10,IL,1
10,NJ,1
10,PA,1
10,KY,1
10,WI,1
10,WI,1
10,IA,1
10,VA,1
10,NJ,1
10,PA,1
10,IL,1
10,SC,1
10,OH,1
10,OK,1
10,OK,1
10,SD,1
10,ON,1
10,OH,1
10,AZ,1
10,NH,1
10,OH,1
10,PA,1
10,ON,1
10,NJ,1
10,MN,1
10,OK,1
10,MN,1
10,NY,1
10,NY,1
10,NJ,1
10,NJ,1
10,KS,1
10,GA,1
10,LA,1
10,CO,1
10,GA,1
10,IL,1
10,ON,1
10,IL,1
10,NY,1
10,TN,1
10,PA,1
10,NY,1
10,NY,1
10,VA,1
10,NY,1
10,MI,1
10,NJ,1
10,PA,1
10,IL,1
10,PA,1
10,FL,1
10,NH,1
10,GA,1
10,MI,1
10,SD,1
10,NY,1
10,NY,1
10,MN,1
10,PA,1
10,NY,1
10,VA,1
10,VA,1
10,IA,1
10,MI,1
10,NJ,1
10,PA,1
10,TX,1
10,NY,1
10,IN,1
10,NC,1
10,ON,1
10,WI,1
10,IL,1
10,PA,1
10,GA,1
10,NY,1
10,TX,1
10,ON,1
10,IL,1
10,MI,1
10,OH,1
10,TX,1
10,MB,1
10,TX,1
10,MD,1
10,IL,1
10,PA,1
10,OH,1
10,MN,1
10,KS,1
10,VA,1
10,CT,1
10,PA,1
10,OH,1
10,IL,1
10,GA,1
10,NY,1
10,MO,1
10,WI,1
10,MI,1
10,FL,1
10,OH,1
10,GA,1
10,WI,1
10,MO,1
10,KS,1
10,WI,1
10,NY,1
10,MO,1
10,IL,1
10,MI,1
10,ON,1
10,MO,1
10,GA,1
10,OH,1
10,IL,1
10,MI,1
10,MI,1
10,MI,1
10,WI,1
10,MN,1
10,IL,1
10,CT,1
10,OH,1
10,MI,1
10,KY,1
10,NH,1
10,MN,1
10,TX,1
10,IL,1
10,MI,1
10,TX,1
10,NC,1
10,TX,1
10,OH,1
10,MB,1
10,IL,1
10,PA,1
10,IA,1
10,NY,1
10,OH,1
10,NY,1
10,ON,1
10,VA,1
10,NY,1
10,TX,1
10,PA,1
10,IL,1
10,MD,1
10,ON,1
10,NJ,1
10,NY,1
10,NY,1
10,ND,1
10,ON,1
10,IA,1
10,WV,1
10,ON,1
10,NE,1
10,MO,1
10,NC,1
10,AZ,1
10,WI,1
10,MA,1
10,IL,1
10,OH,1
10,PA,1
10,KS,1
10,PA,1
10,TX,1
10,NY,1
10,VT,1
10,VA,1
10,SC,1
10,NJ,1
10,NY,1
10,OH,1
10,NY,1
10,DE,1
10,NY,1
10,NY,1
10,MN,1
10,ME,1
10,TX,1
10,KY,1
10,KY,1
10,OH,1
10,CO,1
10,IL,1
10,COA,1
10,NY,1
10,AZ,1
10,PA,1
10,PA,1
10,KY,1
10,IL,1
10,MA,1
10,IA,1
10,WI,1
10,IL,1
10,AL,1
10,FL,1
10,NY,1
10,TX,1
10,MO,1
10,AZ,1
10,OH,1
10,FL,1
10,SD,1
10,WI,1
10,AZ,1
10,MI,1
10,NY,1
10,MA,1
10,MA,1
10,MA,1
10,MA,1
10,LA,1
10,IL,1
10,MI,1
10,CT,1
10,VA,1
10,WI,1
10,MI,1
10,IL,1
10,VA,1
10,OK,1
10,AR,1
10,OH,1
10,KS,1
10,MI,1
10,MN,1
10,IA,1
10,PA,1
10,NY,1
10,LA,1
10,VA,1
10,IL,1
10,IL,1
10,ME,1
10,KY,1
10,TX,1
10,TX,1
10,NJ,1
10,PA,1
10,NE,1
10,AZ,1
10,NY,1
10,VA,1
10,TX,1
10,SC,1
10,WI,1
10,VA,1
10,KY,1
10,NE,1
10,MA,1
10,MN,1
10,MA,1
10,MO,1
10,AL,1
10,MN,1
10,TX,1
10,KS,1
10,MI,1
10,WI,1
10,PA,1
10,MN,1
10,NJ,1
10,OH,1
10,NC,1
10,NY,1
10,VA,1
10,VA,1
10,MI,1
10,FL,1
10,TX,1
10,NC,1
10,MA,1
10,IL,1
10,NY,1
10,LA,1
10,TX,1
10,VA,1
10,VA,1
10,SC,1
10,SC,1
10,TX,1
10,TX,1
10,MI,1
10,WV,1
10,MI,1
10,NY,1
10,NY,1
10,MO,1
10,PA,1
10,PA,1
10,VA,1
10,NY,1
10,IL,1
10,IA,1
10,ON,1
10,TX,1
10,NY,1
10,PA,1
10,WI,1
10,WI,1
10,MI,1
10,MN,1
10,GA,1
10,IL,1
10,WI,1
10,IL,1
10,MI,1
10,PA,1
10,NY,1
10,IL,1
10,IL,1
10,WI,1
10,ME,1
10,TX,1
10,WI,1
10,VA,1
10,GA,1
10,KY,1
10,IA,1
10,MA,1
10,ND,1
10,WI,1
10,ON,1
10,NJ,1
10,VT,1
10,TX,1
10,TX,1
10,FL,1
10,MO,1
10,NJ,1
10,NY,1
10,ON,1
10,SC,1
10,MD,1
10,VA,1
10,PA,1
10,PA,1
10,NY,1
10,ON,1
10,MI,1
10,IA,1
10,PA,1
10,NJ,1
10,MI,1
10,IN,1
10,IL,1
10,PA,1
10,MO,1
10,NJ,1
10,WV,1
10,MO,1
10,NJ,1
10,IL,1
10,MO,1
10,OH,1
10,MN,1
10,MD,1
10,IA,1
10,PA,1
10,VT,1
10,GA,1
10,NY,1
10,NY,1
10,NY,1
10,PA,1
10,WV,1
10,IN,1
10,IL,1
10,DC,1
10,PA,1
10,TX,1
10,CA,1
10,PA,1
10,ON,1
10,ON,1
10,VA,1
10,ON,1
10,NY,1
10,VA,1
10,PA,1
10,MI,1
10,ON,1
10,VT,1
10,TN,1
10,FL,1
10,PA,1
10,PA,1
10,NY,1
10,AZ,1
10,IL,1
10,PA,1
10,NY,1
10,WV,1
10,VA,1
10,PA,1
10,CT,1
10,OK,1
10,CT,1
10,OK,1
10,TX,1
10,OH,1
10,WI,1
10,IN,1
10,MA,1
10,PA,1
10,WV,1
10,IL,1
10,IA,1
10,ON,1
10,FL,1
10,NY,1
10,WI,1
10,VA,1
10,MN,1
10,COA,1
10,NY,1
10,NY,1
10,NY,1
10,MO,1
10,LA,1
10,WI,1
10,IA,1
10,MD,1
10,ND,1
10,OH,1
10,VT,1
10,IN,1
10,WI,1
10,GA,1
10,MN,1
10,TX,1
10,NY,1
10,FL,1
10,IL,1
10,CO,1
10,FL,1
10,OK,1
10,PA,1
10,ON,1
10,IA,1
10,NY,1
10,WI,1
10,MI,1
10,NJ,1
10,MO,1
10,IN,1
10,TN,1
10,MI,1
10,VT,1
10,IL,1
10,NY,1
10,WI,1
10,NY,1
10,TX,1
10,TN,1
10,TX,1
10,CO,1
10,IA,1
10,NJ,1
10,NH,1
10,ON,1
10,MI,1
10,MO,1
10,IL,1
10,MI,1
10,PA,1
10,PA,1
10,ON,1
10,MI,1
10,MA,1
10,MI,1
10,OK,1
10,MI,1
10,AL,1
10,NY,1
10,NY,1
10,NJ,1
10,IL,1
10,GA,1
10,GA,1
10,ON,1
10,TX,1
10,VT,1
10,VT,1
10,VT,1
10,MN,1
10,WV,1
10,ON,1
10,MD,1
10,NC,1
10,SC,1
10,CA,1
10,NY,1
10,NY,1
10,MA,1
10,NY,1
10,NY,1
10,IL,1
10,TX,1
10,MD,1
10,KY,1
10,TX,1
10,AZ,1
10,MI,1
10,PA,1
10,MN,2
10,MA,1
10,MO,1
10,VT,1
10,VT,1
10,MN,22
10,IN,1
10,IA,1
10,GA,1
10,VA,1
10,MN,1
10,IL,1
10,MI,1
10,TX,1
10,GA,1
10,TX,1
10,NY,1
10,PA,1
10,WI,1
10,IA,1
10,IA,1
10,WV,1
10,TX,1
10,TX,1
10,VT,1
10,OK,1
10,TX,1
10,MN,1
10,NJ,1
10,MO,1
10,MI,1
10,NY,1
10,TX,1
10,VT,1
10,WI,1
10,MN,1
10,IN,1
10,VT,1
10,GA,1
10,AL,1
10,TX,1
10,NC,1
10,TX,1
10,OH,1
10,CT,1
10,TX,1
10,FL,1
10,PA,1
10,WI,1
10,RI,1
10,PA,1
10,TN,1
10,MO,1
10,NC,1
10,OK,1
10,NJ,1
10,KS,1
10,MI,1
10,MN,1
10,MD,1
10,IL,1
10,NC,1
10,PA,1
10,NC,1
10,OK,1
10,TX,1
10,GA,1
10,FL,1
10,MI,1
10,AR,1
10,ON,1
10,KS,1
10,TX,1
10,NY,1
10,ON,1
10,NH,1
10,OK,1
10,TX,1
10,MN,4
10,PA,1
10,NC,1
10,NY,1
10,ON,1
10,NY,1
10,TX,1
10,VT,1
10,GA,1
10,CA,1
10,MI,1
10,NL,1
10,FL,1
10,MO,1
10,PA,1
10,NY,1
10,NJ,1
10,NC,1
10,NJ,1
10,MI,1
10,MI,1
10,LA,1
10,PA,1
10,PA,1
10,ON,1
10,MO,1
10,NY,1
10,MI,1
10,MN,25
10,VT,1
10,AZ,1
10,IL,1
10,LA,1
10,PA,1
10,IL,1
10,FL,1
10,MI,1
10,FL,1
10,ON,1
10,PA,1
10,NH,1
10,KY,1
10,VA,1
10,NY,1
10,MN,1
10,NY,1
10,ON,1
10,TN,1
10,MI,1
10,GA,1
10,OH,1
10,NE,1
10,VA,1
10,ME,1
10,COA,1
10,VA,1
10,NY,1
10,NY,1
10,IN,1
10,ON,1
10,WI,1
10,WI,1
10,TX,1
10,MO,1
10,MN,25
10,MI,1
10,MS,1
10,ON,1
10,MI,1
10,IA,1
10,IA,1
10,IL,1
10,PA,1
10,MI,1
10,NY,1
10,PA,1
10,IA,1
10,MI,1
10,WI,1
10,CA,1
10,WI,1
10,IN,1
10,NY,1
10,MB,1
10,ON,1
10,ON,1
10,MI,1
10,MI,1
10,ON,1
10,TX,1
10,OH,1
10,AR,1
10,MI,1
10,VA,1
10,NC,1
10,ON,1
10,MN,1
10,NJ,1
10,WI,1
10,TN,1
10,GA,1
10,NJ,1
10,TX,1
10,TX,1
10,GA,1
10,NJ,1
10,OH,1
10,VA,1
10,MN,1
10,ON,1
10,PA,1
10,AR,1
10,AR,1
10,GA,1
10,MI,1
10,MI,1
10,AL,1
10,PA,1
10,SC,1
10,PA,1
10,MN,10
10,MN,10
10,VA,1
10,NJ,1
10,MS,1
10,OK,1
10,TN,1
10,MI,1
10,TN,1
10,MI,1
10,IL,1
10,IL,1
10,MI,1
10,VA,1
10,ON,1
10,MD,1
10,IL,1
10,VT,1
10,IL,1
10,WI,1
10,MN,1
10,KY,1
10,WI,1
10,NY,1
10,MI,1
10,WV,1
10,PA,1
10,WV,1
10,IL,1
10,ON,1
10,ON,1
10,NC,1
10,GA,1
10,PA,1
10,NY,1
10,CO,1
10,NY,1
10,ND,1
10,CA,1
10,NC,1
10,MO,1
10,AL,1
10,FL,1
10,PA,1
10,KY,1
10,VA,1
10,WI,1
10,IL,1
10,MO,1
10,MN,10
10,ON,1
10,KS,1
10,VA,1
10,NE,1
10,NY,1
10,IL,1
10,PA,1
10,IL,1
10,OH,1
10,NJ,1
10,MI,1
10,ME,1
10,ON,1
10,ON,1
10,MN,1
10,WI,1
10,PA,1
10,WI,1
10,OH,1
10,TX,1
10,OH,1
10,WI,1
10,CO,1
10,CO,1
10,SD,1
10,NY,1
10,NC,1
10,GA,1
10,LA,1
10,NJ,1
10,MS,1
10,ON,1
10,IL,1
10,TX,1
10,MN,10
10,GA,1
10,NS,1
10,VA,1
10,PA,1
10,OH,1
10,GA,1
10,GA,1
10,IA,1
10,NY,1
10,MI,1
10,MN,15
10,SC,1
10,IL,1
10,MN,1
10,MI,1
10,MI,1
10,MA,1
10,VA,1
10,IL,1
10,GA,1
10,KS,1
10,WI,1
10,TX,1
10,NY,1
10,KS,1
10,KS,1
10,TX,1
10,MI,1
10,MB,1
10,TX,1
10,MB,1
10,TX,1
10,NC,1
10,NY,1
10,GA,1
10,OH,1
10,SC,1
10,VA,1
10,KS,1
10,NY,1
10,MI,1
10,OH,1
10,MI,1
10,MO,1
10,MI,1
10,VA,1
10,WI,1
10,PA,1
10,OK,1
10,IL,1
10,MI,1
10,VA,1
10,MN,25
10,MN,25
10,MI,1
10,PA,1
10,KS,1
10,WI,1
10,GA,1
10,VA,1
10,KS,1
10,MO,1
10,TX,1
10,VA,1
10,ON,1
10,VA,1
10,PA,1
10,IL,1
10,PA,1
10,IL,1
10,TX,1
10,VT,1
10,VA,1
10,AL,1
10,NS,1
10,NC,1
10,NC,1
10,MI,1
10,COA,1
10,GUA,1
10,NY,1
10,NY,1
10,MN,1
10,MD,1
10,CO,1
10,NY,1
10,NE,1
10,NL,1
10,NY,1
10,ON,1
10,SC,1
10,NJ,1
10,IA,1
10,WI,1
10,MB,1
10,PA,1
10,NY,1
10,IL,1
10,VT,1
10,AL,1
10,PA,1
10,ON,1
10,MN,15
10,IL,1
10,ON,1
10,OK,1
10,VA,1
10,OK,1
10,MN,1
10,NH,1
10,OK,1
10,TX,1
10,GA,1
10,OK,1
10,TX,1
10,ND,1
10,OH,1
10,NE,1
10,MN,25
10,NS,1
10,PA,1
10,NC,1
10,ON,1
10,OH,1
10,VA,1
10,IL,1
10,NY,1
10,NY,1
10,WI,1
10,NJ,1
10,NJ,1
10,MO,1
10,NY,1
10,PA,1
10,IL,1
10,PA,1
10,MI,1
10,GA,1
10,MI,1
10,FL,1
10,OK,1
10,OK,1
10,TX,1
10,KY,1
10,NY,1
10,KS,1
10,WI,1
10,KS,1
10,MO,1
10,ON,1
10,NY,1
10,TX,1
10,MA,1
10,MN,1
10,KS,1
10,IN,1
10,MN,20
10,ON,1
10,IN,1
10,SD,1
10,PA,1
10,MO,1
10,MI,1
10,NY,1
10,TX,1
10,NY,1
10,LA,1
10,PA,1
10,VA,1
10,IL,1
10,MO,1
10,PA,1
10,AR,1
10,TN,1
10,VT,1
10,MI,1
10,KS,1
10,IL,1
10,MN,1
10,NJ,1
10,MO,1
10,NY,1
10,NY,1
10,TX,1
10,NY,1
10,NY,1
10,IL,1
10,WV,1
10,ON,1
10,KS,1
10,ON,1
10,MN,1
10,NC,1
10,SC,1
10,SD,1
10,MI,1
10,NC,1
10,IL,1
10,KY,1
10,MI,1
10,GA,1
10,KS,1
10,KS,1
10,NY,1
10,AL,1
10,NC,1
10,CA,1
10,AR,1
10,NY,1
10,MN,25
10,IA,1
10,ON,1
10,ON,1
10,KS,1
10,KS,1
10,CO,1
10,OH,1
10,NC,1
10,NC,1
10,IL,1
10,TX,1
10,MI,1
10,MN,1
10,KS,1
10,OH,1
10,PA,1
10,WI,1
10,PA,1
10,PA,1
10,ON,1
10,DE,1
10,MI,1
10,WI,1
10,VA,1
10,MO,1
10,FL,1
10,SC,1
10,TX,1
10,GA,1
10,GA,1
10,SC,1
10,MI,1
10,AR,1
10,CA,1
10,KS,1
10,NC,1
10,NC,1
10,QC,1
10,NY,1
10,PA,1
10,MB,1
10,NY,1
10,SD,1
10,KS,1
10,MN,1
10,VT,1
10,ON,1
10,NC,1
10,KS,1
10,IL,1
10,OK,1
10,KS,1
10,NY,1
10,KS,1
10,NC,1
10,NC,1
10,TX,1
10,NY,1
10,GA,1
10,GA,1
10,GA,1
10,ON,1
10,CT,1
10,PA,1
10,PA,1
10,VA,1
10,PA,1
10,KY,1
10,NJ,1
10,IL,1
10,CO,1
10,MI,1
10,MO,1
10,WI,1
10,WI,1
10,MB,1
10,OH,1
10,NY,1
10,NC,1
10,NC,1
10,NC,1
10,SC,1
10,WI,1
10,KS,1
10,KS,1
10,MB,1
10,NL,1
10,IL,1
10,KS,1
10,WI,1
10,NJ,1
10,VA,1
10,MD,1
10,MA,1
10,NY,1
10,NY,1
10,AZ,1
10,ON,1
10,NJ,1
10,VA,1
10,ON,1
10,NJ,1
10,MI,1
10,VA,1
10,AR,1
10,MD,1
10,MN,1
10,ON,1
10,WI,1
10,NH,1
10,KS,1
10,TX,1
10,MO,1
10,CA,1
10,MI,1
10,NC,1
10,PA,1
10,MD,1
10,NH,1
10,TN,1
10,NJ,1
10,TX,1
10,NH,1
10,ON,1
10,MI,1
10,NY,1
10,AB,1
10,OH,1
10,ON,1
10,ME,1
10,MI,1
10,OH,1
